"date","hour","minute","dep","arr","dep_delay","arr_delay","carrier","flight","dest","plane","cancelled","time","dist"
2011-01-02 12:00:00,18,23,1823,2132,28,17,"AA",1294,"MIA","N3CCAA",0,112,964
2011-01-03 12:00:00,17,55,1755,2106,0,-9,"AA",1294,"MIA","N3ARAA",0,112,964
2011-01-04 12:00:00,17,57,1757,2122,2,7,"AA",1294,"MIA","N3DFAA",0,108,964
2011-01-05 12:00:00,17,51,1751,2100,-4,-15,"AA",1294,"MIA","N3BDAA",0,107,964
2011-01-06 12:00:00,17,46,1746,2120,-9,5,"AA",1294,"MIA","N3CMAA",0,106,964
2011-01-07 12:00:00,17,57,1757,2108,2,-7,"AA",1294,"MIA","N3CYAA",0,107,964
2011-01-08 12:00:00,17,49,1749,2100,-6,-15,"AA",1294,"MIA","N3AXAA",0,107,964
2011-01-09 12:00:00,18,10,1810,2123,15,8,"AA",1294,"MIA","N3AUAA",0,110,964
2011-01-10 12:00:00,19,34,1934,2235,99,80,"AA",1294,"MIA","N3BXAA",0,107,964
2011-01-11 12:00:00,18,48,1848,2156,53,41,"AA",1294,"MIA","N3CWAA",0,111,964
2011-01-12 12:00:00,17,48,1748,2102,-7,-13,"AA",1294,"MIA","N3DFAA",0,117,964
2011-01-13 12:00:00,17,48,1748,2127,-7,12,"AA",1294,"MIA","N3DLAA",0,110,964
2011-01-14 12:00:00,17,54,1754,2101,-1,-14,"AA",1294,"MIA","N3CUAA",0,110,964
2011-01-15 12:00:00,17,49,1749,2059,-6,-16,"AA",1294,"MIA","N3AXAA",0,111,964
2011-01-16 12:00:00,18,7,1807,2137,12,22,"AA",1294,"MIA","N3CXAA",0,113,964
2011-01-17 12:00:00,18,3,1803,2121,8,6,"AA",1294,"MIA","N3CEAA",0,117,964
2011-01-18 12:00:00,18,39,1839,2154,44,39,"AA",1294,"MIA","N3BLAA",0,114,964
2011-01-19 12:00:00,17,51,1751,2103,-4,-12,"AA",1294,"MIA","N3CWAA",0,110,964
2011-01-20 12:00:00,17,50,1750,2114,-5,-1,"AA",1294,"MIA","N3CWAA",0,111,964
2011-01-21 12:00:00,18,18,1818,2133,23,18,"AA",1294,"MIA","N3BCAA",0,110,964
2011-01-22 12:00:00,17,50,1750,2055,-5,-20,"AA",1294,"MIA","N3BYAA",0,109,964
2011-01-23 12:00:00,17,53,1753,2113,-2,-2,"AA",1294,"MIA","N3DCAA",0,107,964
2011-01-24 12:00:00,18,28,1828,2146,33,31,"AA",1294,"MIA","N3GJAA",0,113,964
2011-01-25 12:00:00,17,50,1750,2118,-5,3,"AA",1294,"MIA","N3BFAA",0,129,964
2011-01-26 12:00:00,19,5,1905,2211,70,56,"AA",1294,"MIA","N3BXAA",0,111,964
2011-01-27 12:00:00,18,12,1812,2129,17,14,"AA",1294,"MIA","N3CFAA",0,106,964
2011-01-28 12:00:00,17,50,1750,2108,-5,-7,"AA",1294,"MIA","N3BLAA",0,108,964
2011-01-29 12:00:00,17,53,1753,2102,-2,-13,"AA",1294,"MIA","N3BXAA",0,105,964
2011-01-30 12:00:00,18,56,1856,2209,61,54,"AA",1294,"MIA","N3CPAA",0,108,964
2011-01-31 12:00:00,17,57,1757,2101,2,-14,"AA",1294,"MIA","N3DJAA",0,104,964
2011-01-03 12:00:00,9,7,907,1013,-3,-12,"AA",1436,"DFW","N480AA",0,44,224
2011-01-04 12:00:00,9,30,930,1030,20,5,"AA",1436,"DFW","N497AA",0,43,224
2011-01-05 12:00:00,9,16,916,1019,6,-6,"AA",1436,"DFW","N548AA",0,40,224
2011-01-06 12:00:00,9,7,907,1015,-3,-10,"AA",1436,"DFW","N4WUAA",0,42,224
2011-01-07 12:00:00,9,4,904,1012,-6,-13,"AA",1436,"DFW","N531AA",0,40,224
2011-01-10 12:00:00,9,41,941,1113,31,48,"AA",1436,"DFW","N591AA",0,45,224
2011-01-11 12:00:00,9,1,901,1005,-9,-20,"AA",1436,"DFW","N425AA",0,42,224
2011-01-12 12:00:00,9,9,909,1009,-1,-16,"AA",1436,"DFW","N499AA",0,41,224
2011-01-13 12:00:00,9,7,907,1022,-3,-3,"AA",1436,"DFW","N251AA",0,45,224
2011-01-14 12:00:00,9,3,903,1012,-7,-13,"AA",1436,"DFW","N552AA",0,45,224
2011-01-17 12:00:00,9,30,930,1040,20,15,"AA",1436,"DFW","N545AA",0,49,224
2011-01-18 12:00:00,9,23,923,1030,13,5,"AA",1436,"DFW","N262AA",0,42,224
2011-01-19 12:00:00,9,16,916,1028,6,3,"AA",1436,"DFW","N474AA",0,45,224
2011-01-20 12:00:00,9,7,907,1018,-3,-7,"AA",1436,"DFW","N4XJAA",0,42,224
2011-01-21 12:00:00,9,18,918,1037,8,12,"AA",1436,"DFW","N538AA",0,50,224
2011-01-24 12:00:00,9,12,912,1017,2,-8,"AA",1436,"DFW","N567AA",0,42,224
2011-01-25 12:00:00,9,1,901,1007,-9,-18,"AA",1436,"DFW","N485AA",0,38,224
2011-01-26 12:00:00,9,10,910,1018,0,-7,"AA",1436,"DFW","N486AA",0,44,224
2011-01-27 12:00:00,9,8,908,1011,-2,-14,"AA",1436,"DFW","N499AA",0,46,224
2011-01-28 12:00:00,9,7,907,1012,-3,-13,"AA",1436,"DFW","N425AA",0,44,224
2011-01-31 12:00:00,9,41,941,1054,31,29,"AA",1436,"DFW","N517AA",0,44,224
2011-01-01 12:00:00,10,12,1012,1347,-8,7,"AA",1700,"MIA","N3DAAA",0,117,964
2011-01-02 12:00:00,10,8,1008,1321,-12,-19,"AA",1700,"MIA","N3ASAA",0,112,964
2011-01-03 12:00:00,10,18,1018,1323,-2,-17,"AA",1700,"MIA","N3CBAA",0,111,964
2011-01-04 12:00:00,10,26,1026,1333,6,-7,"AA",1700,"MIA","N3BAAA",0,109,964
2011-01-05 12:00:00,10,21,1021,1331,1,-9,"AA",1700,"MIA","N3CDAA",0,108,964
2011-01-06 12:00:00,10,20,1020,1322,0,-18,"AA",1700,"MIA","N3CUAA",0,105,964
2011-01-07 12:00:00,10,10,1010,1316,-10,-24,"AA",1700,"MIA","N3BCAA",0,107,964
2011-01-08 12:00:00,10,19,1019,1324,-1,-16,"AA",1700,"MIA","N3AHAA",0,106,964
2011-01-09 12:00:00,10,29,1029,1338,9,-2,"AA",1700,"MIA","N3CPAA",0,110,964
2011-01-10 12:00:00,10,38,1038,1414,18,34,"AA",1700,"MIA","N3AKAA",0,132,964
2011-01-11 12:00:00,11,34,1134,1454,74,74,"AA",1700,"MIA","N3ALAA",0,115,964
2011-01-12 12:00:00,10,19,1019,1327,-1,-13,"AA",1700,"MIA","N3BJAA",0,113,964
2011-01-13 12:00:00,10,18,1018,1326,-2,-14,"AA",1700,"MIA","N3BCAA",0,108,964
2011-01-14 12:00:00,10,24,1024,1327,4,-13,"AA",1700,"MIA","N3AUAA",0,110,964
2011-01-15 12:00:00,10,22,1022,1340,2,0,"AA",1700,"MIA","N3DEAA",0,114,964
2011-01-16 12:00:00,10,21,1021,1332,1,-8,"AA",1700,"MIA","N3BJAA",0,118,964
2011-01-17 12:00:00,10,19,1019,1332,-1,-8,"AA",1700,"MIA","N3BUAA",0,113,964
2011-01-18 12:00:00,10,17,1017,1332,-3,-8,"AA",1700,"MIA","N3ARAA",0,118,964
2011-01-19 12:00:00,10,16,1016,1331,-4,-9,"AA",1700,"MIA","N3BXAA",0,114,964
2011-01-20 12:00:00,10,15,1015,1325,-5,-15,"AA",1700,"MIA","N3CKAA",0,107,964
2011-01-21 12:00:00,10,17,1017,1325,-3,-15,"AA",1700,"MIA","N3APAA",0,110,964
2011-01-22 12:00:00,10,26,1026,1345,6,5,"AA",1700,"MIA","N3CPAA",0,112,964
2011-01-23 12:00:00,10,12,1012,1327,-8,-13,"AA",1700,"MIA","N3CNAA",0,108,964
2011-01-24 12:00:00,NA,NA,NA,NA,NA,NA,"AA",1700,"MIA","N3BGAA",1,NA,964
2011-01-25 12:00:00,10,40,1040,1354,20,14,"AA",1700,"MIA","N3BFAA",0,112,964
2011-01-26 12:00:00,10,15,1015,1329,-5,-11,"AA",1700,"MIA","N3BLAA",0,110,964
2011-01-27 12:00:00,10,17,1017,1335,-3,-5,"AA",1700,"MIA","N3AJAA",0,108,964
2011-01-28 12:00:00,10,20,1020,1318,0,-22,"AA",1700,"MIA","N3DDAA",0,104,964
2011-01-29 12:00:00,10,15,1015,1326,-5,-14,"AA",1700,"MIA","N3FYAA",0,108,964
2011-01-30 12:00:00,10,19,1019,1324,-1,-16,"AA",1700,"MIA","N3DCAA",0,106,964
2011-01-31 12:00:00,10,13,1013,1336,-7,-4,"AA",1700,"MIA","N3FRAA",0,100,964
2011-01-01 12:00:00,12,11,1211,1325,6,15,"AA",1820,"DFW","N593AA",0,39,224
2011-01-02 12:00:00,12,0,1200,1303,-5,-7,"AA",1820,"DFW","N589AA",0,47,224
2011-01-03 12:00:00,12,4,1204,1308,-1,-2,"AA",1820,"DFW","N4XPAA",0,46,224
2011-01-04 12:00:00,12,6,1206,1319,1,9,"AA",1820,"DFW","N565AA",0,41,224
2011-01-05 12:00:00,12,5,1205,1311,0,1,"AA",1820,"DFW","N560AA",0,44,224
2011-01-06 12:00:00,12,4,1204,1310,-1,0,"AA",1820,"DFW","N563AA",0,41,224
2011-01-07 12:00:00,12,4,1204,1316,-1,6,"AA",1820,"DFW","N4YRAA",0,43,224
2011-01-08 12:00:00,12,2,1202,1308,-3,-2,"AA",1820,"DFW","N4YTAA",0,39,224
2011-01-09 12:00:00,NA,NA,NA,NA,NA,NA,"AA",1820,"DFW","N4XCAA",1,NA,224
2011-01-10 12:00:00,12,17,1217,1329,12,19,"AA",1820,"DFW","N598AA",0,43,224
2011-01-11 12:00:00,12,5,1205,1310,0,0,"AA",1820,"DFW","N563AA",0,42,224
2011-01-12 12:00:00,12,6,1206,1305,1,-5,"AA",1820,"DFW","N593AA",0,41,224
2011-01-13 12:00:00,12,5,1205,1311,0,1,"AA",1820,"DFW","N4WAAA",0,46,224
2011-01-14 12:00:00,12,5,1205,1315,0,5,"AA",1820,"DFW","N566AA",0,49,224
2011-01-15 12:00:00,12,22,1222,1329,17,19,"AA",1820,"DFW","N476AA",0,52,224
2011-01-16 12:00:00,12,5,1205,1306,0,-4,"AA",1820,"DFW","N599AA",0,42,224
2011-01-17 12:00:00,12,5,1205,1322,0,12,"AA",1820,"DFW","N4WXAA",0,49,224
2011-01-18 12:00:00,12,35,1235,1334,30,24,"AA",1820,"DFW","N4WRAA",0,43,224
2011-01-19 12:00:00,12,4,1204,1311,-1,1,"AA",1820,"DFW","N4YDAA",0,44,224
2011-01-20 12:00:00,12,14,1214,1324,9,14,"AA",1820,"DFW","N202AA",0,44,224
2011-01-21 12:00:00,12,6,1206,1312,1,2,"AA",1820,"DFW","N433AA",0,44,224
2011-01-22 12:00:00,12,0,1200,1312,-5,2,"AA",1820,"DFW","N546AA",0,50,224
2011-01-23 12:00:00,12,17,1217,1308,12,-2,"AA",1820,"DFW","N436AA",0,39,224
2011-01-24 12:00:00,12,12,1212,1318,7,8,"AA",1820,"DFW","N434AA",0,43,224
2011-01-25 12:00:00,11,59,1159,1259,-6,-11,"AA",1820,"DFW","N4WDAA",0,40,224
2011-01-26 12:00:00,11,59,1159,1314,-6,4,"AA",1820,"DFW","N594AA",0,46,224
2011-01-27 12:00:00,11,59,1159,1311,-6,1,"AA",1820,"DFW","N569AA",0,43,224
2011-01-28 12:00:00,12,55,1255,1358,50,48,"AA",1820,"DFW","N435AA",0,47,224
2011-01-29 12:00:00,11,56,1156,1302,-9,-8,"AA",1820,"DFW","N592AA",0,44,224
2011-01-30 12:00:00,11,59,1159,1319,-6,9,"AA",1820,"DFW","N589AA",0,41,224
2011-01-31 12:00:00,12,5,1205,1317,0,7,"AA",1820,"DFW","N511AA",0,42,224
2011-01-02 12:00:00,9,7,907,1018,-3,-7,"AA",1824,"DFW","N569AA",0,45,224
2011-01-08 12:00:00,9,2,902,1010,-8,-15,"AA",1824,"DFW","N4YUAA",0,43,224
2011-01-09 12:00:00,9,38,938,1050,28,25,"AA",1824,"DFW","N568AA",0,41,224
2011-01-15 12:00:00,9,5,905,1007,-5,-18,"AA",1824,"DFW","N4YAAA",0,41,224
2011-01-16 12:00:00,9,3,903,1012,-7,-13,"AA",1824,"DFW","N568AA",0,44,224
2011-01-22 12:00:00,9,30,930,1041,20,16,"AA",1824,"DFW","N459AA",0,47,224
2011-01-23 12:00:00,9,3,903,1023,-7,-2,"AA",1824,"DFW","N4YDAA",0,45,224
2011-01-29 12:00:00,9,3,903,1020,-7,-5,"AA",1824,"DFW","N599AA",0,44,224
2011-01-30 12:00:00,9,4,904,1013,-6,-12,"AA",1824,"DFW","N588AA",0,46,224
2011-01-01 12:00:00,5,57,557,906,-3,-9,"AA",1994,"MIA","N3BBAA",0,113,964
2011-01-02 12:00:00,5,54,554,912,-6,-3,"AA",1994,"MIA","N3DCAA",0,115,964
2011-01-03 12:00:00,5,55,555,905,-5,-10,"AA",1994,"MIA","N3CMAA",0,111,964
2011-01-04 12:00:00,5,58,558,923,-2,8,"AA",1994,"MIA","N3CWAA",0,115,964
2011-01-05 12:00:00,5,55,555,914,-5,-1,"AA",1994,"MIA","N3DFAA",0,111,964
2011-01-06 12:00:00,6,0,600,908,0,-7,"AA",1994,"MIA","N3AJAA",0,107,964
2011-01-07 12:00:00,5,56,556,905,-4,-10,"AA",1994,"MIA","N3DDAA",0,108,964
2011-01-08 12:00:00,5,58,558,910,-2,-5,"AA",1994,"MIA","N3DAAA",0,105,964
2011-01-09 12:00:00,5,58,558,911,-2,-4,"AA",1994,"MIA","N3CYAA",0,111,964
2011-01-10 12:00:00,6,5,605,920,5,5,"AA",1994,"MIA","N3AUAA",0,111,964
2011-01-11 12:00:00,5,53,553,1216,-7,NA,"AA",1994,"MIA","N3DLAA",0,NA,964
2011-01-12 12:00:00,5,51,551,903,-9,-12,"AA",1994,"MIA","N3BDAA",0,112,964
2011-01-13 12:00:00,6,33,633,938,33,23,"AA",1994,"MIA","N3AGAA",0,109,964
2011-01-14 12:00:00,5,58,558,910,-2,-5,"AA",1994,"MIA","N3DLAA",0,112,964
2011-01-15 12:00:00,5,55,555,905,-5,-10,"AA",1994,"MIA","N3DJAA",0,114,964
2011-01-16 12:00:00,6,5,605,910,5,-5,"AA",1994,"MIA","N3AHAA",0,112,964
2011-01-17 12:00:00,5,56,556,943,-4,28,"AA",1994,"MIA","N3AXAA",0,143,964
2011-01-18 12:00:00,5,55,555,911,-5,-4,"AA",1994,"MIA","N3DFAA",0,112,964
2011-01-19 12:00:00,5,54,554,921,-6,6,"AA",1994,"MIA","N3BVAA",0,124,964
2011-01-20 12:00:00,5,56,556,912,-4,-3,"AA",1994,"MIA","N3FTAA",0,110,964
2011-01-21 12:00:00,5,53,553,907,-7,-8,"AA",1994,"MIA","N3CJAA",0,114,964
2011-01-22 12:00:00,5,50,550,907,-10,-8,"AA",1994,"MIA","N3BFAA",0,118,964
2011-01-23 12:00:00,5,52,552,900,-8,-15,"AA",1994,"MIA","N3BCAA",0,110,964
2011-01-24 12:00:00,5,53,553,906,-7,-9,"AA",1994,"MIA","N3CCAA",0,111,964
2011-01-25 12:00:00,5,58,558,916,-2,1,"AA",1994,"MIA","N3AMAA",0,111,964
2011-01-26 12:00:00,5,55,555,907,-5,-8,"AA",1994,"MIA","N3DJAA",0,112,964
2011-01-27 12:00:00,6,6,606,915,6,0,"AA",1994,"MIA","N3DEAA",0,112,964
2011-01-28 12:00:00,5,54,554,905,-6,-10,"AA",1994,"MIA","N3FYAA",0,111,964
2011-01-29 12:00:00,5,52,552,904,-8,-11,"AA",1994,"MIA","N3AKAA",0,107,964
